主页,http://hotel.big5.elong.com/,^/$,【酒店预订】宾馆预订_艺龙旅行网
城市酒店列表-P1,http://hotel.big5.elong.com/beijing/,^/[a-z]+/$,【北京酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市酒店列表-Pn,http://hotel.big5.elong.com/beijing/p2.html,^/[a-z]+/p\d+$,【北京酒店】宾馆预订_住宿价格查询_第2页_艺龙旅行网
城市行政区酒店列表-P1,http://hotel.big5.elong.com/beijing/chaoyang/,^/[a-z]+/[a-z]+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区经济型酒店列表,http://hotel.big5.elong.com/beijing/chaoyang/inn.html,^/[a-z]+/inn\.html$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区三星级酒店列表,http://hotel.big5.elong.com/beijing/chaoyang/star3.html,^/[a-z]+/[a-z]+/star[3-5]\.html$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区某品牌酒店列表,http://hotel.big5.elong.com/beijing/chaoyang/brand1.html,^/[a-z]+/\.[a-z]+html/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市行政区酒店列表-Pn,http://hotel.big5.elong.com/beijing/chaoyang/p2.html,^/[a-z]+/[a-z]+/p\d+$,【北京朝阳区酒店】宾馆预订_住宿价格查询_2_艺龙旅行网
城市商圈酒店列表-P1,http://hotel.big5.elong.com/beijing/center_123/,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈经济型酒店列表,http://hotel.big5.elong.com/beijing/center_123/inn.html,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈三星级酒店列表,http://hotel.big5.elong.com/beijing/center_123/star3.html,^/[a-z]+/center_\d+/star[3-5]\.html$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈某品牌酒店列表,http://hotel.big5.elong.com/beijing/center_123/brand1.html,^/[a-z]+/center_\d+/$,【北京朝阳区酒店】宾馆预订_住宿价格查询_艺龙旅行网
城市商圈酒店列表-Pn,http://hotel.big5.elong.com/beijing/center_123/p2.html,^/[a-z]+/center_\d+/p\d+\.html$,【北京朝阳区酒店】宾馆预订_住宿价格查询_2_艺龙旅行网
城市医院酒店列表-P1,http://hotel.big5.elong.com/beijing/hospital_123/,^/[a-z]+/place/\d+/$,【北京 北京大学】附近酒店宾馆预订_住宿价格查询_艺龙旅行网
城市医院经济型酒店列表,http://hotel.big5.elong.com/beijing/hospital_123/inn.html,^/[a-z]+/hospital_\d+/inn\.html$
城市医院三星级酒店列表,http://hotel.big5.elong.com/beijing/hospital_123/star3.html,^/[a-z]+/hospital_\d+/star[3-5]\.html$,
城市医院某品牌酒店列表,http://hotel.big5.elong.com/beijing/hospital_123/brand1.html,^/[a-z]+/hospital_\d+/brand_\d+\.html$
城市医院酒店列表-Pn,http://hotel.big5.elong.com/beijing/hospital_123/p2.html,^/[a-z]+/place/\d+/p\d+\.html$,【北京 北京大学】附近酒店宾馆预订_住宿价格查询_2_艺龙旅行网
城市大学酒店列表-p1,http://hotel.big5.elong.com/beijing/college_123/,^/[a-z]+/college_\d+/$
城市大学经济型酒店列表,http://hotel.big5.elong.com/beijing/college_123/inn.html,^/[a-z]+/college_\d+/inn\.html$
城市大学三星级酒店列表,http://hotel.big5.elong.com/beijing/college_123/star3.html,^/[a-z]+/college_\d+/star[3-5]\.html$,
城市大学某品牌酒店列表,http://hotel.big5.elong.com/beijing/college_123/brand1.html,^/[a-z]+/college_\d+/p\d+.html$
城市大学酒店列表-Pn,http://hotel.big5.elong.com/beijing/college_123/p2.html,^/[a-z]+/college_\d+/p\d+.html$
城市景点酒店列表-p1,http://hotel.big5.elong.com/beijing/spot_123/,^/[a-z]+/spot_\d+/$
城市景点经济型酒店列表,http://hotel.big5.elong.com/beijing/spot_123/inn.html,^/[a-z]+/spot+\d+/inn\.html$
城市景点三星级酒店列表,http://hotel.big5.elong.com/beijing/spot_123/star3.html,^/[a-z]+/spot_\d+/star[3-5]\.html$,
城市景点某品牌酒店列表,http://hotel.big5.elong.com/beijing/spot_123/brand1.html,^/[a-z]+/spot_\d+/brand_\d+\.html$
城市景点酒店列表-Pn,http://hotel.big5.elong.com/beijing/spot_123/p2.html,^/[a-z]+/spot+\d+/p\d+\.html$
城市机场酒店列表-p1,http://hotel.big5.elong.com/beijing/airport_123/,^/[a-z]+/airport_\d+/$
城市机场经济型酒店列表,http://hotel.big5.elong.com/beijing/airport_123/inn.html,^/[a-z]+/airport_\d+/inn\.html$
城市机场三星级酒店列表,http://hotel.big5.elong.com/beijing/airport_123/star3.html,^/[a-z]+/airport_\d+/star[3-5]\.html$,
城市机场某品牌酒店列表,http://hotel.big5.elong.com/beijing/airport_123/brand1.html,^/[a-z]+/airport_\d+/brand_\d+\.html$
城市机场酒店列表-Pn,http://hotel.big5.elong.com/beijing/airport_123/p2.html,^/[a-z]+/airport_\d+/p\d+\.html$
