预付更便宜首页,http://prepay.big5.sunnychina.com/,^/$
城市酒店列表,http://prepay.big5.sunnychina.com/beijing/,^/[a-z]+/$
城市酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/p2.html,^/[a-z]+/p\d+\.html$
城市+行政区酒店列表,http://prepay.big5.sunnychina.com/beijing/chaoyang/,^/[a-z]+/[a-z]+/$
城市+行政区酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/chaoyang/p2.html,^/[a-z]+/[a-z]+/p\d+\.html$
城市+商圈酒店列表,http://prepay.big5.sunnychina.com/beijing/center_123/,^/[a-z]+/center_\d+/$
城市+商圈酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/center_123/p2.html,^/[a-z]+/center_\d+/p\d+\.html$
城市+大学酒店列表,http://prepay.big5.sunnychina.com/beijing/college_123/,^/[a-z]+/college_\d+/$
城市+大学酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/college_123/p2.html,^/[a-z]+/college_\d+/p\d+\.html$
城市+医院酒店列表,http://prepay.big5.sunnychina.com/beijing/hospital_123/,^/[a-z]+/hospital_\d+/$
城市+医院酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/hospital_123/p2.html,^/[a-z]+/hospital_\d+/p\d+\.html$
城市+景点酒店列表,http://prepay.big5.sunnychina.com/beijing/scenic_123/,^/[a-z]+/scenic_\d+/$
城市+景点酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/scenic_123/p2.html,^/[a-z]+/scenic_\d+/p\d+\.html$
城市+火车站酒店列表,http://prepay.big5.sunnychina.com/beijing/train_123/,^/[a-z]+/train_\d+/$
城市+火车站酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/train_123/p2.html,^/[a-z]+/train_\d+/p\d+\.html$
城市+机场酒店列表,http://prepay.big5.sunnychina.com/beijing/airport_123/,^/[a-z]+/airport_\d+/$
城市+机场酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/airport_123/p2.html,^/[a-z]+/airport_\d+/p\d+\.html$
城市+地铁线酒店列表,http://prepay.big5.sunnychina.com/beijing/metroline_123/,^/[a-z]+/metroline_\d+/$
城市+地铁线酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/metroline_123/p2.html,^/[a-z]+/metroline_\d+/p\d+\.html$
城市+地铁站酒店列表,http://prepay.big5.sunnychina.com/beijing/metro_123/,^/[a-z]+/metro_\d+/$
城市+地铁站酒店列表-Pn,http://prepay.big5.sunnychina.com/beijing/metro_123/p2.html,^/[a-z]+/metro_\d+/p\d+\.html$
酒店详情页,http://prepay.big5.sunnychina.com/info_2707.html,^/info_\d+\.html$
