"节点","旧url","旧url正则","新url","新url正则","title","Title正则","keywords","description"
"国内机票主页","http://flight.elong.com/",,"http://flight.elong.com/                                "," ^/$","【机票】飞机票预订(预定)_机票价格查询_打折特价机票查询_艺龙旅行网",,"机票预订(预定),价格查询,特价打折机票 ","艺龙旅行网提供国内各城市机票查询预订,特价机票查询和打折机票查询服务.艺龙同时提供航班查询,时刻表查询,机票查询时刻表票价,实时起降查询.订机票上艺龙旅行网.24小时机票预订电话：4009-333-333."
"城市到城市单程(次日/经济舱)","http://flight.elong.com/beijing-shanghai/",,"http://flight.elong.com/beijing-shanghai/","^/[a-z]+-[a-z]+/$","【北京到上海经济舱】机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,经济舱,机票,价格","北京到上海经济舱机票查询,特价打折飞机票价格查询.北京到上海经济舱11月9日最低价,吉祥航空3.5折400元起.订北京到上海机票,上艺龙旅行网,24小时客服电话：4009-333-333."
"城市到城市单程(次日/商务舱)","http://flight.elong.com/search/cn_list_BJS_SHA_2012-11-15_M.html",,"http://flight.elong.com/beijing-shanghai/business.html","^/[a-z]+-[a-z]+/business\.html$","【北京到上海商务舱】机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,商务舱,机票,价格","北京到上海商务舱机票查询,特价打折飞机票价格查询.北京到上海商务舱11月9日最低价,中国国航960元返50元.订北京到上海机票,上艺龙旅行网,24小时客服电话：4009-333-333."
"城市到城市时刻表","http://flight.elong.com/cn_timetable_BJS_SHA_2012-11-15.html",,"http://flight.elong.com/beijing-shanghai/timetable.html","^/[a-z]+-[a-z]+/timeable\.html$","【北京到上海航班时刻表】时刻表查询_机票预订_艺龙旅行网",,"北京,上海,北京到上海,航班时刻表,机票","艺龙旅行网为您提供北京到上海航班时刻信息,北京到上海航班时刻查询服务,是您网上查询北京到上海航班时刻表的首选.艺龙快捷高质预订飞往全国各地的单程,往返特价机票,打折机票,您出行的好帮手."
"城市到城市特价机票","http://flight.elong.com/jipiao/tejia-beijing-shanghai/",,"http://flight.elong.com/beijing-shanghai/sale.html","^/[a-z]+-[a-z]+/sale\.html$","【北京到上海特价机票】打折机票_价格查询_机票预订_艺龙旅行网",,"北京,上海,北京到上海,特价打折机票","北京到上海特价机票,打折飞机票价格查询.为您提供方便的北京到上海特价机票,打折机票查询预订服务.上海航空低价2折230起.订北京到上海特价机票,上艺龙旅行网,24小时客服电话：4009-333-333."
"城市到城市单程当天","http://flight.elong.com/search/cn_list_BJS_SHA_2012-11-14_Y.html",,"http://flight.elong.com/beijing-shanghai/day1.html","^/[a-z]+-[a-z]+/day1\.html$","【北京到上海经济舱】当天机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,经济舱,机票,价格","北京到上海经济舱机票查询,特价打折飞机票价格查询.北京到上海经济舱11月8日最低价,中国国航4折450元起.订北京到上海机票,上艺龙旅行网,24小时客服电话：4009-333-333."
"城市到城市单程第3天","http://flight.elong.com/search/cn_list_BJS_SHA_2012-11-16_Y.html",,"http://flight.elong.com/beijing-shanghai/day3.html","^/[a-z]+-[a-z]+/day3\.html$","【北京到上海经济舱】第三天机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,经济舱,机票,价格","北京到上海经济舱机票查询,特价打折飞机票价格查询.北京到上海经济舱11月10日最低价,上海航空3折340元起.订北京到上海机票,上艺龙旅行网,24小时客服电话：4009-333-333."
"城市到城市往返（次日起程三天后返程，经济舱）","http://flight.elong.com/search/cn_round_trip_BJS_SHA_2012-11-15_2012-11-18_Y.html",,"http://flight.elong.com/beijing-shanghai-round/","^/[a-z]+-[a-z]+-round/$","【北京到上海经济舱】往返特价机票航班查询_预订_艺龙旅行网",,"北京,上海,北京到上海,经济舱,往返,机票","北京到上海经济舱往返机票查询及北京到上海往返航班查询,特价打折飞机票价格查询.北京到上海经济舱返程票11月12日最低价,吉祥航空3折340元起.订机票上艺龙旅行网.24小时机票预订电话：4009-333-333."
"城市到城市往返（次日起程三天后返程，商务舱）","http://flight.elong.com/search/cn_round_trip_BJS_SHA_2012-11-15_2012-11-18_M.html",,"http://flight.elong.com/beijing-shanghai-round/business.html","^/[a-z]+-[a-z]+-round/business\.html$","【北京到上海商务舱】往返特价机票航班查询_预订_艺龙旅行网",,"北京,上海,北京到上海,商务舱,往返,机票","北京到上海商务舱往返机票查询及北京到上海往返航班查询,特价打折飞机票价格查询.北京到上海商务舱返程票11月12日最低价,中国国航1130元返50元.订机票上艺龙旅行网.24小时机票预订电话：4009-333-333."
"特价机票","http://flight.elong.com/jipiao/tejia-beijing/",,"http://flight.elong.com/beijing-sale.html","^/[a-z]+-sale\.html$","【北京特价机票】打折机票_机票查询预订_艺龙旅行网",,"北京,打折,特价机票","艺龙旅行网为您提供北京飞往各个城市的特价机票查询,打折机票预订服务及北京出发的航空公司特价航班查询,最低票价一折起.订机票上艺龙旅行网.24小时机票预订电话：4009-333-333."
"航空公司索引",,,"http://flight.elong.com/airlines/","^/airlines/$","【航空公司机票查询】特价打折机票_机票价格查询_预订_艺龙旅行网",,"航空公司机票查询,特价,打折机票,价格","艺龙旅行网为您提供航空公司特价机票查询,打折机票预订及价格查询.最低票价一折起.订机票上艺龙旅行网.24小时机票预订电话：4009-333-333."
"xx航空公司","http://flight.elong.com/airlines/cz/",,"http://flight.elong.com/airlines/cz/","^/airlines/[a-z]+/$","【四川航空】特价打折机票_价格查询_预订_艺龙旅行网",,"四川航空,特价,打折机票","艺龙旅行网为您提供四川航空所有航班航线特价机票,打折机票查询与预订服务.可直接通过网站或电话进行查询.24小时客服电话：4009-333-333."
"航班号","http://flight.elong.com/flights/changchun-shanghai-cz6373/",,"http://flight.elong.com/airlines/cz/cz3280.html","^/airlines/([a-z]+)/\1\d+\.html$","【四川航空航班】丽江到南京_3U8533航班信息_机票查询预订_艺龙旅行网",,"四川航空,丽江到南京,3U8533,机票","四川航空3U8533丽江到南京航班信息:由丽江(丽江三义机场)飞往南京(南京禄口国际机场),起飞时间:09:10,降落时间:12:45,经停:绵阳南郊机场,飞行时间:3个小时35分钟.查询更多航班信息请登录艺龙旅行."
"国内特惠机票","http://flight.elong.com/cn_etermlist.html",,"http://flight.elong.com/discount/","^/discount/$","【特惠机票】特惠机票预订_国内打折机票查询预订服务_艺龙旅行网",,"特惠机票,预订(预定)","国内特惠机票查询.艺龙以东方航空,国际航空,南方航空,中国国航,上海航空,深圳航空,厦门航空,海南航空,四川航空,吉祥航空官方网站特价机票查询,是您网上订票首选."
"国内特惠机票信息","http://flight.elong.com/cn_ETermFillorder_28.html",,"http://flight.elong.com/discount/cz-1.html","^/discount/[a-z]+-\d+\.html$","【国际航空特惠机票】特惠机票预订_国内打折机票预订服务_艺龙旅行网",,"国际航空特惠机票,预订","国际航空特惠机票预订及预订规则,低至8%-20%.订机票上艺龙旅行网.24小时机票预订电话：4009-333-333."
"城市到国际城市单程（三天后、经济舱）","http://iflight.elong.com/beijing-toronto/",,"http://iflight.elong.com/beijing-toronto/","^/[a-z]+-[a-z]+/$","【北京到多伦多经济舱】机票价格_航班查询_机票预订_艺龙旅行网",,"北京,多伦多,北京到多伦多,机票,经济舱","北京到多伦多经济舱机票查询,特价打折飞机票价格查询,北京到多伦多经济舱11月11日最低价,中国香港港龙航空4490元起,订机票,上艺龙旅行网.24小时机票预订电话：4009-333-333."
