"节点","旧url","旧url正则","新url","新url正则","title","Title正则","keywords"
"旅游社区","http://lvyou.elong.com/",,"http://lvyou.elong.com/","^/$","【旅游社区】旅游博客_游记攻略_旅游问答_旅游论坛_艺龙旅行社区",,"旅游社区,博客,游记,攻略,问答,论坛"
"旅游社区-某主题论坛","http://lvyou.elong.com/bbs/lvxing/all/",,"http://lvyou.elong.com/bbs/lvxing/all/","^/bbs/lvxing/all/$·","【旅行论坛】艺龙旅行社区",,"旅行论坛,论坛,bbs,旅游"
"某主题论坛-Pn","http://lvyou.elong.com/bbs/lvxing/all/list-00-2.html",,"http://lvyou.elong.com/bbs/lvxing/all/123.html","^/bbs/lvxing/all/\d+\.html$","【旅行论坛】100_艺龙旅行社区",,"旅行论坛,论坛,bbs,旅游"
"旅游社区-某主题游记","http://lvyou.elong.com/bbs/lvxing/tour/",,"http://lvyou.elong.com/bbs/lvxing/tour/","^/bbs/lvxing/tour/$","【旅行游记】艺龙旅行社区",,"旅行游记,游记,bbs,旅游"
"某主题游记-Pn","http://lvyou.elong.com/bbs/lvxing/tour/list-00-2.html",,"http://lvyou.elong.com/bbs/lvxing/tour/123.html","^/bbs/lvxing/tour/\d+\.html$","【旅行游记】100_艺龙旅行社区",,"旅行游记,游记,bbs,旅游"
"旅游社区-某主题画报","http://lvyou.elong.com/bbs/lvxing/pictorial/",,"http://lvyou.elong.com/bbs/lvxing/pictorial/","^/bbs/lvxing/pictorial/$","【旅行画报】艺龙旅行社区",,"旅行画报,画报,旅游"
"某主题画报-Pn","http://lvyou.elong.com/bbs/lvxing/pictorial/list-00-2.html",,"http://lvyou.elong.com/bbs/lvxing/pictorial/123.html","^/bbs/lvxing/pictorial/\d+\.html$","【旅行画报】100_艺龙旅行社区",,"旅行画报,画报,旅游"
"旅游社区-某主题问答","http://lvyou.elong.com/bbs/lvxing/ask/",,"http://lvyou.elong.com/bbs/lvxing/ask/","^/bbs/lvxing/ask/$","【旅行问答】艺龙旅行社区",,"旅行问答,问答,旅游"
"某主题问答-Pn","http://lvyou.elong.com/bbs/lvxing/ask/list-00-2.html",,"http://lvyou.elong.com/bbs/lvxing/ask/123.html","^/bbs/lvxing/ask/\d+\.html$","【旅行问答】100_艺龙旅行社区",,"旅行问答,问答,旅游"
"会员BLOG主页","http://lvyou.elong.com/878/",,"http://lvyou.elong.com/878/","^/\d+/$","【艺龙小虎】艺龙小虎_艺龙旅行网博客_艺龙旅行社区",,"艺龙小虎,博客,艺龙旅行网博客"
"游记索引","http://lvyou.elong.com/878/tour/",,"http://lvyou.elong.com/878/tour/","^/\d+/tour/$","【艺龙小虎游记】艺龙旅行社区",,"博客,游记,旅游攻略"
"游记","http://lvyou.elong.com/878/tour/a1hblnp9.html",,"http://lvyou.elong.com/878/tour/a1hblnp9.html","^/\d+/tour/[a-z\d]+\.html$","【持欧铁通票畅游欧洲大奖名单公布】艺龙小虎_艺龙旅行社区",,"持欧铁通票畅游欧洲大奖名单公布,游记,旅游攻略"
"游记分类(以及翻页)",,,"http://lvyou.elong.com/878/tour/list-678-1.html"," ^/\d+/tour/list-\d+-\d+\.html$","【持欧铁通票畅游欧洲大奖名单公布】艺龙小虎_100_艺龙旅行社区",,"持欧铁通票畅游欧洲大奖名单公布,游记,旅游攻略"
"画报索引",,,"http://lvyou.elong.com/878/pictorial/","^/\d+/pictorial/$","【艺龙小虎画报】艺龙旅行网",,"艺龙小虎画报,画报,旅游攻略"
"画报 ",,,"http://lvyou.elong.com/878/pictorial/a1h7k8rc.html","^/\d+/pictorial/[a-z\d]+\.html$","【“千人拍龙门”摄影入围作品展掠影】艺龙小虎_艺龙旅行社区",,"千人拍龙门摄影入围作品展掠影,画报,旅游攻略"
"相册索引",,,"http://lvyou.elong.com/878/picture/","^/\d+/picture/$","【艺龙小虎相册】艺龙旅行社区",,"博客,相册,旅游攻略"
"相册",,,"http://lvyou.elong.com/878/picture/a1ebb884.html","^/\d+/picture/[a-z\d]+\.html$","【艺龙带你游台湾】艺龙小虎_艺龙旅行社区",,"博客,相册,旅游攻略"
"文章配图相册中的图片",,,"http://lvyou.elong.com/5209149/picture/a1hfgqua/3233339.html","^/\d+/picture/[a-z\d]+/\d+\.html$","【文章配图相册】艺龙小虎_艺龙旅行社区",,"文章配图相册,旅游攻略"
"提问索引",,,"http://lvyou.elong.com/878/ask/","^/\d+/ask/$","【艺龙小虎提问】艺龙旅行社区",,"艺龙小虎提问,问答,旅游攻略"
"提问",,,"http://lvyou.elong.com/878/ask/a1928j9e.html","^/\d+/ask/[a-z\d]+\.html$","【请问鼓浪屿上岛有门票吗】艺龙小虎_艺龙旅行社区",,"鼓浪屿,旅游,问答,咨询"
