"节点","url","Url正则","title","Title正则","keywords"
"主页","http://tuan.elong.com/","^/$","【酒店团购大全】全国精品酒店宾馆团购_艺龙旅行网",,"酒店团购,宾馆团购,艺龙团购,艺龙酒店团购,低价酒店"
"城市列表页"," http://tuan.elong.com/beijing/","^/[a-z]+/$","【北京酒店团购】精品低价酒店宾馆团购_艺龙旅行网",,"北京酒店团购,宾馆团购,低价酒店"
"城市+行政区","http://tuan.elong.com/beijing/district_123/","^/[a-z]+/[a-z]+/$","【北京_朝阳区_酒店团购】精品低价酒店宾馆团购_艺龙旅行网",,"北京,朝阳区,北京朝阳区酒店团购,宾馆团购,低价酒店"
,,,,,
"商家（酒店）","http://tuan.elong.com/beijing/district_123/0036567/",,,,
"产品详细页","http://tuan.elong.com/beijing/district_123/0036567/21/",,,,
"往期产品详细页?","http://tuan.elong.com/beijing/district_123/0036567/21/1.html","^/[a-z]+/[a-z]+/\d+/\d+\.html$","【北京德全酒店】团购_地址_艺龙旅行网",,"北京,酒店,团购,北京德全酒店团购,"
,,,,,
"城市+单一商圈","http://tuan.elong.com/beijing/center-123.html","^/[a-z]+/center-\d+\.html$","【北京_西单】附近精品低价酒店宾馆团购_艺龙旅行网",,"北京,西单,北京西单,附近,酒店,宾馆,团购,低价"
"城市+经济型酒店","http://tuan.elong.com/beijing/inn.html","^/[a-z]+/inn\.html$","【北京_快捷酒店】经济型精品低价酒店团购_艺龙旅行网",,"北京,快捷酒店,经济型,酒店,团购,低价"
"城市+三/四/五星级酒店","http://tuan.elong.com/beijing/star-3.html","^/[a-z]+/star-\d+\.html$              ","【北京_三星级酒店】精品低价团购_艺龙旅行网",,"北京,三星级酒店,团购,低价"
