"节点","url","Url正则","title","Title正则","keywords "
"主页","http://www.huoche.com/","                           ^/$","火车票查询_预订(预定)_转让_列车时刻表查询_火车网",,"火车票预订(预定),列车时刻表,火车时刻表,火车票网,酒店预订,飞机票,旅游"
"打折机票首页","http://www.huoche.com/jipiao/","                   ^/jipiao/$","【特价机票】打折机票_飞机票价格查询_预订(预定)_火车网",,"特价机票,打折机票,票价查询,价格,预订(预定)"
"城市到城市单程（次日）","http://www.huoche.com/jipiao/beijing-shanghai","   ^/jipiao/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)$","【北京到上海】机票预订(预定)_航班时刻表_价格查询_航班号一览_火车网",,"北京到上海,机票预订(预定),特价机票预订,航班时刻表"
"城市到城市单程（次日）+翻页","http://www.huoche.com/jipiao/beijing-shanghai/p1.html","   ^/jipiao/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)/p\d+.html","【北京到上海】机票预订(预定)_航班时刻表_价格查询_航班号一览_100_火车网",,"北京到上海,机票预订(预定),特价机票预订,航班时刻表"
"城市到城市单程当日","http://www.huoche.com/jipiao/beijing-shanghai/day1/","   ^/jipiao/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)/day\d+/$","【北京到上海】当日机票预订(预定)_航班时刻表_价格查询_航班号一览_火车网",,"北京到上海,机票预订(预定),特价机票预订,航班时刻表"
"城市到城市单程当日+翻页","http://www.huoche.com/jipiao/beijing-shanghai/day1/p1.html ","^jipiao/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)/day1/p\d+.html","【北京到上海】当日机票预订(预定)_航班时刻表_价格查询_航班号一览_100_火车网",,"北京到上海,机票预订(预定),特价机票预订,航班时刻表"
"特价机票首页","http://www.huoche.com/jipiao/sale/","^/jipiao/sale/$ ","【特价机票】全国打折机票大全_预订(预定)_火车网",,"特价机票,打折机票,预订(预定)"
"城市特价机票","http://www.huoche.com/jipiao/sale/beijing/","^/jipiao/sale/[a-z]+/$ ","【北京特价机票】打折机票_价格查询_预订(预定)_火车网",,"北京特价机票,打折机票,票价查询,预订(预定)"
"长途汽车查询","http://www.huoche.com/changtu/","                   ^/changtu/$","【长途汽车】全国各省市长途汽车大全_价格查询_长途汽车时刻表_火车网",,"长途汽车,长途客运,长途汽车时刻表"
"城市长途汽车时刻表","http://www.huoche.com/changtu/beijing/","^/changtu/sheng/([a-z]+)$","【北京长途汽车】北京汽车时刻表_价格查询_火车网",,"北京汽车站,北京汽车站时刻表,北京长途汽车站,北京客运站"
"长途汽车站","http://www.huoche.com/changtu/z601/","^/changtu/sheng/([a-z]+)$","【八王坟客运站】电话_地址_火车网",,"北京,八王坟客运站,电话,地址"
"城市到城市时刻表                           "," http://www.huoche.com/changtu/beijing-shanghai/","^changtu/([a-zA-Z0-9]+)-([a-zA-Z0-9]+)/$","【北京到上海长途】长途汽车时刻表_北京长途汽车站_火车网",,"北京到上海长途汽车,北京长途汽车,长途客运,长途汽车时刻表"
"详细页","http://www.huoche.com/changtu/info/72917.html            ","^/changtu/info/\d+.html$","【北京到上海长途】长途汽车票_电话_地址_火车网",,"北京到上海长途汽车,长途汽车票,电话"
"全国公交线路查询   ","http://www.huoche.com/bus/","                       ^/bus/$","【公交车查询】全国公交车信息_线路查询_火车网",,"公交车查询,公交车路线,公交查询,公交线路"
"北京公交车列表   ","http://www.huoche.com/t1/","                       ^/t\d+/$","【北京公交车查询】北京公交车信息_线路查询_火车网",,"北京公交车查询,公交车路线,公交查询,公交线路"
"北京324路电车公交线路","http://www.huoche.com/b150/","                           ^/b\d+/","【北京324路电车】324路公交车_324路公交路线_火车网",,"北京324路电车,线路"
"公交站点","http://www.huoche.com/bs3003.html","               ^/bs\d+.html$","【夏家胡同】北京夏家胡同_火车网",,"夏家胡同,公交车路线,公交查询"
"售票点查询","http://www.huoche.com/dingpiao/","                   ^/dingpiao/$","【售票点查询】全国火车票代售点大全_火车站电话_订票电话_火车站订票_火车网",,"售票点查询,火车站电话,火车站订票电话,火车售票点,订票电话,火车网"
"河北省售票点列表","http://www.huoche.com/dingpiao/sheng/hebei","   ^/dingpiao/sheng/([a-z]+)$","【河北省售票点】代售点大全_河北火车站_预订(预定)_订票电话_火车网",,"河北省售票点,订票电话,火车票预订(预定)"
"城市售票点列表","http://www.huoche.com/dingpiao/beijing/","               ^/dingpiao/([a-zA-Z0-9]+)/$","【北京市售票点】代售点大全_预订(预定)_订票电话_北京火车站_火车网",,"北京市售票点,订票电话,火车票预订(预定)"
"城市售票点列表+翻页","http://www.huoche.com/dingpiao/beijing/P1.html","   ^/dingpiao/([a-zA-Z0-9]+)/p\d+.html$","【北京市售票点】代售点大全_预订(预定)_订票电话_北京火车站_100_火车网",,"北京市售票点,订票电话,火车票预订(预定)"
"城市+行政区售票点列表","http://www.huoche.com/dingpiao/beijing/area/97/","   ^/dingpiao/([a-zA-Z0-9]+)/area/\d+/$","【北京_崇文_售票点】订票电话_预订(预定)_崇文代售点_火车网",,"北京,崇文,北京崇文,售票点,订票电话,火车票预订(预定)"
"城市+行政区售票点列表+翻页","http://www.huoche.com/dingpiao/beijing/area/97/P1.html","   ^/dingpiao/([a-zA-Z0-9]+)/area/\d+/P\d+.html$","【北京_崇文_售票点】订票电话_预订(预定)_崇文代售点_100_火车网",,"北京,崇文,北京崇文,售票点,订票电话,火车票预订(预定)"
"售票点详细页","http://www.huoche.com/dingpiao/shoupiao/640.html","   ^/shoupiao/\d+.html$","【京站国运火车售票处】订票电话_地址_火车网",,"京站国运火车售票处,订票电话"
