"节点","url","Url正则","title","Title正则","keywords"
"预付更便宜首页","http://prepay.sunnychina.com/","^/$","【预付更便宜】酒店预订_价格查询_宾馆旅馆住宿信息_阳光旅行网",,"预付更便宜,酒店预订(预定),宾馆,旅馆,住宿信息"
"城市酒店列表","http://prepay.sunnychina.com/beijing/","^/[a-z]+/$","【北京预付更便宜酒店】宾馆预订信息_价格查询_阳光旅行网",,"北京预付更便宜酒店,宾馆,预订(预定)"
"城市酒店列表-Pn","http://prepay.sunnychina.com/beijing/p2.html","^/[a-z]+/p\d+\.html$","【北京预付更便宜酒店】宾馆预订信息_价格查询_100_阳光旅行网",,"北京预付更便宜酒店,宾馆,预订(预定)"
"城市+行政区酒店列表","http://prepay.sunnychina.com/beijing/chaoyang/","        ^/[a-z]+/[a-z]+/$","【北京_朝阳区_预付更便宜酒店】宾馆预订信息_价格查询_阳光旅行网",,"北京,朝阳区,北京朝阳区预付更便宜,酒店,宾馆,预订(预定)"
"城市+行政区酒店列表-Pn","http://prepay.sunnychina.com/beijing/chaoyang/p2.html","            ^/[a-z]+/[a-z]+/p\d+\.html$","【北京_朝阳区_预付更便宜酒店】宾馆预订信息_价格查询_100_阳光旅行网",,"北京,朝阳区,北京朝阳区预付更便宜,酒店,宾馆,预订(预定)"
"城市+商圈酒店列表","http://prepay.sunnychina.com/beijing/center_123/","    ^/[a-z]+/center_\d+/$","【北京_西单_预付更便宜酒店】宾馆预订信息_价格查询_阳光旅行网",,"北京,西单,北京西单预付更便宜,酒店,宾馆,预订(预定)"
"城市+商圈酒店列表-Pn","http://prepay.sunnychina.com/beijing/center_123/p2.html","                ^/[a-z]+/center_\d+/p\d+\.html$","【北京_西单_预付更便宜酒店】宾馆预订信息_价格查询_100_阳光旅行网",,"北京,西单,北京西单预付更便宜,酒店,宾馆,预订(预定)"
"城市+大学酒店列表","http://prepay.sunnychina.com/beijing/college_123/","    ^/[a-z]+/college_\d+/$","【北京_北京大学_预付更便宜】附近酒店宾馆预订_价格查询_阳光旅行网",,"北京,北京大学预付更便宜,酒店,宾馆,预订(预定)"
"城市+大学酒店列表-Pn","http://prepay.sunnychina.com/beijing/college_123/p2.html","            ^/[a-z]+/college_\d+/p\d+\.html$","【北京_北京大学_预付更便宜】附近酒店宾馆预订_价格查询_100_阳光旅行网",,"北京,北京大学预付更便宜,酒店,宾馆,预订(预定)"
"城市+医院酒店列表","http://prepay.sunnychina.com/beijing/hospital_123/","        ^/[a-z]+/hospital_\d+/$","【北京_北京医院_预付更便宜】附近酒店宾馆预订_价格查询_阳光旅行网",,"北京,北京医院预付更便宜,酒店,宾馆,预订(预定)"
"城市+医院酒店列表-Pn","http://prepay.sunnychina.com/beijing/hospital_123/p2.html","            ^/[a-z]+/hospital_\d+/p\d+\.html$","【北京_北京医院_预付更便宜】附近酒店宾馆预订_价格查询_100_阳光旅行网",,"北京,北京医院预付更便宜,酒店,宾馆,预订(预定)"
"城市+景点酒店列表","http://prepay.sunnychina.com/beijing/spot_123/","^/[a-z]+/scenic_\d+/$","【北京_天安门_预付更便宜】附近酒店宾馆预订_价格查询_阳光旅行网",,"北京,天安门,北京天安门预付更便宜,酒店,宾馆,预订(预定)"
"城市+景点酒店列表-Pn","http://prepay.sunnychina.com/beijing/spot_123/p2.html","                ^/[a-z]+/scenic_\d+/p\d+\.html$","【北京_天安门_预付更便宜】附近酒店宾馆预订_价格查询_100_阳光旅行网",,"北京,天安门,北京天安门预付更便宜,酒店,宾馆,预订(预定)"
"城市+火车站酒店列表","http://prepay.sunnychina.com/beijing/train_123/","        ^/[a-z]+/train_\d+/$","【北京_北京西站_预付更便宜】附近酒店宾馆预订_价格查询_阳光旅行网",,"北京,北京西站预付更便宜,酒店,宾馆,预订(预定)"
"城市+火车站酒店列表-Pn","http://prepay.sunnychina.com/beijing/train_123/p2.html","                ^/[a-z]+/train_\d+/p\d+\.html$","【北京_北京西站_预付更便宜】附近酒店宾馆预订_价格查询_100_阳光旅行网",,"北京,北京西站预付更便宜,酒店,宾馆,预订(预定)"
"城市+机场酒店列表","http://prepay.sunnychina.com/beijing/airport_123/","    ^/[a-z]+/airport_\d+/$","【北京_南苑机场_预付更便宜】附近酒店宾馆预订_价格查询_阳光旅行网",,"北京,南苑机场,北京南苑机场预付更便宜,酒店,宾馆,预订(预定)"
"城市+机场酒店列表-Pn","http://prepay.sunnychina.com/beijing/airport_123/p2.html","            ^/[a-z]+/airport_\d+/p\d+\.html$","【北京_南苑机场_预付更便宜】附近酒店宾馆预订_价格查询_100_阳光旅行网",,"北京,南苑机场,北京南苑机场预付更便宜,酒店,宾馆,预订(预定)"
