"节点","url","Url正则","title","Title正则","keywords"
"首页","http://www.sunnychina.com/","^/$","【阳光旅行网】酒店预订(预定)_机票查询_酒店团购_电话400-666-9977_订酒店、返现金! 最实惠的酒店预订网站",,"酒店,宾馆,酒店预订(预定),酒店团购,机票查询,阳光旅行网"
"全国城市街道地标首页","http://www.sunnychina.com/poi_city.html","^/poi_city\.html$","【全国街道地标】阳光旅行网",,"全国街道地标,附近,酒店,宾馆,预订(预定)"
"城市街道酒店列表","http://www.sunnychina.com/hotel/poi_beijing_street/","^/poi_[a-z]+_street/$","【北京街道地标】北京街道大全_酒店宾馆预订(预定)查询_阳光旅行网",,"北京,北京街道地标,附近,酒店,宾馆,预订(预定)"
"城市街道酒店列表-Pn","http://www.sunnychina.com/hotel/poi_beijing_street/p2.html","^/poi_[a-z]+_street/p\d+\.html$","【北京街道地标】北京街道大全_酒店宾馆预订(预定)查询_100_阳光旅行网",,"北京,北京街道地标,附近,酒店,宾馆,预订(预定)"
"城市+行政区街道酒店列表","http://www.sunnychina.com/hotel/poi_beijing_chaoyang_street/","^/poi_[a-z]+_[a-z]+_street/$","【北京_朝阳区街道】街道大全_酒店宾馆预订(预定)查询_阳光旅行网",,"北京,朝阳区,北京朝阳区街道,附近,酒店,宾馆,预订(预定)"
"城市+行政区街道酒店列表-Pn","http://www.sunnychina.com/hotel/poi_beijing_chaoyang_street/p2.html","    ^/poi_[a-z]+_[a-z]+_street/p\d+\.html$","【北京_朝阳区街道】街道大全_酒店宾馆预订(预定)查询_100_阳光旅行网",,"北京,朝阳区,北京朝阳区街道,附近,酒店,宾馆,预订(预定)"
"某大街附近酒店列表","http://www.sunnychina.com/hotel/poi_beijing_chaoyang_street/9214407/","^/poi_[a-z]+_[a-z]+_street/\d+/$","【口南大街】酒店宾馆预订(预定)_价格查询_地址_阳光旅行网",,"口南大街,附近,酒店,宾馆,预订(预定)"
"某大街附近酒店列表-Pn","http://www.sunnychina.com/hotel/poi_beijing_chaoyang_street/9214407/p2.html","    ^/poi_[a-z]+_[a-z]+_street/\d+/p\d+\.html$","【口南大街】酒店宾馆预订(预定)_价格查询_地址_100_阳光旅行网",,"口南大街,附近,酒店,宾馆,预订(预定)"
"产品详细页","http://www.sunnychina.com/hotel/6205.html","                    ^/hotel/\d+\.html$","【汉庭全季酒店】预订(预定)_地址_价格_电话_点评_阳光旅行网",,"汉庭全季酒店,预订(预定)"
"酒店图片","http://www.sunnychina.com/hotel/6205/image.html","                        ^/hotel/\d+/image\.html$","【汉庭全季酒店图片】阳光旅行网",,"汉庭全季酒店图片,预订(预定)"
"酒店点评","http://www.sunnychina.com/hotel/6205/review.html","                        ^/hotel/\d+/review\.html$","【汉庭全季酒店点评】阳光旅行网",,"汉庭全季酒店点评,预订(预定)"
"交通地图","http://www.sunnychina.com/hotel/6205/map.html","                    ^/hotel/\d+/map\.html$","【汉庭全季酒店交通地图】阳光旅行网",,"汉庭全季酒店交通,地图,位置"
"附近地标","http://www.sunnychina.com/hotel/6205/poi.html","                    ^/hotel/\d+/poi\.html$","【汉庭全季酒店地标】酒店附近地标大全_阳光旅行网",,"汉庭全季酒店地标,附近,交通,地图,位置"
,,,,,
"酒店预订主页","http://www.sunnychina.com/hotel/","                ^/hotel/$","【酒店预订】宾馆预订(预定)_最低价格_阳光旅行网",,"酒店,宾馆,酒店预订(预定)"
"城市酒店列表页","http://www.sunnychina.com/hotel/beijing/","^/hotel/[a-z]+/$","【北京_酒店预订】宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,酒店,宾馆,预订(预定),价格"
"城市酒店列表页-Pn","http://www.sunnychina.com/hotel/beijing/p2.html","^/hotel/[a-z]+/p\d+\.html$","【北京_酒店预订】宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,酒店,宾馆,预订(预定),价格"
"城市+行政区酒店列表","http://www.sunnychina.com/hotel/beijing/chaoyang/","    ^/hotel/[a-z]+/[a-z]+/$","【北京_朝阳区_酒店预订】宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,朝阳区,北京朝阳区,酒店,宾馆,预订(预定)"
"城市+行政区经济型酒店列表","http://www.sunnychina.com/hotel/beijing/chaoyang/inn.html","                ^/hotel/[a-z]+/[a-z]+/inn\.html$","【北京_朝阳区_快捷酒店】经济型酒店预订(预定)_价格查询_阳光旅行网",,"北京,朝阳区,北京朝阳区,快捷酒店,经济型,预订(预定)"
"城市+行政区三/四/五星级酒店列表","http://www.sunnychina.com/hotel/beijing/chaoyang/star3.html","                ^/hotel/[a-z]+/[a-z]+/star_[3-5]\.html$","【北京_朝阳区_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,朝阳区,北京朝阳区,三星级,酒店,宾馆,预订(预定)"
"城市+行政区某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/chaoyang/brand1.html","                    ^/hotel/[a-z]+/[a-z]+/brand\d+\.html$","【北京_朝阳区_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,朝阳区,北京朝阳区,如家,酒店预订(预定)"
"城市+行政区酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/chaoyang/p2.html","                ^/hotel/[a-z]+/[a-z]+/p\d+\.html$","【北京_朝阳区_酒店预订】宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,朝阳区,北京朝阳区,酒店,宾馆,预订(预定)"
,,,,,
"城市+商圈酒店列表","http://www.sunnychina.com/hotel/beijing/center_123/","^/hotel/[a-z]+/center_\d+/$","【北京_西单_酒店预订】宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,西单,北京西单,酒店,宾馆,预订(预定)"
"城市+商圈经济型酒店列表","http://www.sunnychina.com/hotel/beijing/center_123/inn.html "," ^/hotel/[a-z]+/center_\d+/inn\.html$","【北京_西单_快捷酒店】经济型酒店预订(预定)_价格查询_阳光旅行网",,"北京,西单,北京西单,快捷酒店,经济型,预订(预定)"
"城市+商圈三星级酒店列表","http://www.sunnychina.com/hotel/beijing/center_123/star3.html  "," ^/hotel/[a-z]+/center_\d+/star_[3-5]\.html$","【北京_西单_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,西单,北京西单,三星级,酒店,宾馆,预订(预定)"
"城市+商圈某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/center_123/brand1.html           "," ^/hotel/[a-z]+/center_\d+/brand\d+\.html$","【北京_西单_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,西单,北京西单,如家,酒店预订(预定)"
"城市+商圈酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/center_123/p2.html          ","^/hotel/[a-z]+/center_\d+/p\d+\.html$","【北京_西单_酒店预订】宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,西单,北京西单,酒店,宾馆,预订(预定)"
,,,,,
"城市+火车站酒店列表","http://www.sunnychina.com/hotel/beijing/train_123/","    ^/hotel/[a-z]+/train_\d+/$","【北京_北京西站】附近酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京西站,附近,酒店,宾馆,预订(预定)"
"城市+火车站经济型酒店列表","http://www.sunnychina.com/hotel/beijing/train_123/inn.html                       ","          ^/hotel/[a-z]+/train_\d+/inn\.html$","【北京_北京西站_快捷酒店】经济型酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京西站,快捷酒店,经济型,预订(预定)"
"城市+火车站三星级酒店列表","http://www.sunnychina.com/hotel/beijing/train_123/star3.html                      "," ^/hotel/[a-z]+/train_\d+/star_[3-5]\.html$","【北京_北京西站_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京西站,三星级,酒店,宾馆,预订(预定)"
"城市+火车站某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/train_123/brand1.html                      "," ^/hotel/[a-z]+/train_\d+/brand\d+\.html$","【北京_北京西站_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京西站,如家,酒店预订(预定)"
"城市+火车站酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/train_123/p2.html                         ","^/hotel/[a-z]+/train_\d+/p\d+\.html$","【北京_北京西站】附近酒店宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,北京西站,附近,酒店,宾馆,预订(预定)"
,,,,,
"城市+机场酒店列表","http://www.sunnychina.com/hotel/beijing/airport_123/","^/hotel/[a-z]+/airport_\d+/$","【北京_南苑机场】附近酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,南苑机场,附近,酒店,宾馆,预订(预定)"
"城市+机场经济型酒店列表","http://www.sunnychina.com/hotel/beijing/airport_123/inn.html                        "," ^/hotel/[a-z]+/airport_\d+/inn\.html$","【北京_南苑机场_快捷酒店】经济型酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,南苑机场,快捷酒店,经济型,预订(预定)"
"城市+机场三星级酒店列表","http://www.sunnychina.com/hotel/beijing/airport_123/star3.html                     "," ^/hotel/[a-z]+/airport_\d+/star_[3-5]\.html$","【北京_南苑机场_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,南苑机场,三星级,酒店,宾馆,预订(预定)"
"城市+机场某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/airport_123/brand1.html                   ","  ^/hotel/[a-z]+/airport_\d+/brand\d+\.html$","【北京_南苑机场_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,南苑机场,如家,酒店预订(预定)"
"城市+机场酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/airport_123/p2.html                       ","^/hotel/[a-z]+/airport_\d+/p\d+\.html$","【北京_南苑机场】附近酒店宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,南苑机场,附近,酒店,宾馆,预订(预定)"
,,,,,
"城市+大学酒店列表","http://www.sunnychina.com/hotel/beijing/college_123/","^/hotel/[a-z]+/college_\d+/$","【北京_北京大学】附近酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京大学,附近,酒店,宾馆,预订(预定)"
"城市+大学经济型酒店列表","http://www.sunnychina.com/hotel/beijing/college_123/inn.html                       "," ^/hotel/[a-z]+/college_\d+/inn\.html$","【北京_北京大学_快捷酒店】经济型酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京大学,快捷酒店,经济型,预订(预定)"
"城市+大学三星级酒店列表","http://www.sunnychina.com/hotel/beijing/college_123/star3.html                      "," ^/hotel/[a-z]+/college_\d+/star_[3-5]\.html$","【北京_北京大学_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京大学,三星级,酒店,宾馆,预订(预定)"
"城市+大学某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/college_123/brand1.html                    "," ^/hotel/[a-z]+/college_\d+/brand\d+\.html$","【北京_北京大学_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京大学,如家,酒店预订(预定)"
"城市+大学酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/college_123/P2.html                        ","^/hotel/[a-z]+/college_\d+/p\d+\.html$","【北京_北京大学】附近酒店宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,北京大学,附近,酒店,宾馆,预订(预定)"
,,,,,
"城市+医院酒店列表","http://www.sunnychina.com/hotel/beijing/hospital_123/","    ^/hotel/[a-z]+/hospital_\d+/$","【北京_北京医院】附近酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京医院,附近,酒店,宾馆,预订(预定)"
"城市+医院经济型酒店列表","http://www.sunnychina.com/hotel/beijing/hospital_123/inn.html                       "," ^/hotel/[a-z]+/hospital_\d+/inn\.html$","【北京_北京医院_快捷酒店】经济型酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京医院,快捷酒店,经济型,预订(预定)"
"城市+医院三星级酒店列表","http://www.sunnychina.com/hotel/beijing/hospital_123/star3.html                    ","^/hotel/[a-z]+/hospital_\d+/star_[3-5]\.html$","【北京_北京医院_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京医院,三星级,酒店,宾馆,预订(预定)"
"城市+医院某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/hospital_123/brand1.html                   "," ^/hotel/[a-z]+/hospital_\d+/brand\d+\.html$","【北京_北京医院_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,北京医院,如家,酒店预订(预定)"
"城市+医院酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/hospital_123/p2.html                       "," ^/hotel/[a-z]+/hospital_\d+/p\d+\.html$","【北京_北京医院】附近酒店宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,北京医院,附近,酒店,宾馆,预订(预定)"
,,,,,
"城市+景点酒店列表","http://www.sunnychina.com/hotel/beijing/spot_123/","    ^/hotel/[a-z]+/spot_\d+/$","【北京_天安门】附近酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,天安门,附近,酒店,宾馆,预订(预定)"
"城市+景点经济型酒店列表","http://www.sunnychina.com/hotel/beijing/spot_123/inn.html                        ","^/hotel/[a-z]+/spot_\d+/inn\.html$","【北京_天安门_快捷酒店】经济型酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,天安门,快捷酒店,经济型,预订(预定)"
"城市+景点三星级酒店列表","http://www.sunnychina.com/hotel/beijing/spot_123/star3.html                      ","^/hotel/[a-z]+/spot_\d+/star_[3-5]\.html$","【北京_天安门_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,天安门,三星级,酒店,宾馆,预订(预定)"
"城市+景点某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/spot_123/brand1.html                     "," ^/hotel/[a-z]+/spot_\d+/brand\d+\.html$","【北京_天安门_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,天安门,如家,酒店预订(预定)"
"城市+景点酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/spot_123/p2.html                         ","^/hotel/[a-z]+/spot_\d+/p\d+\.html$","【北京_天安门】附近酒店宾馆预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,天安门,附近,酒店,宾馆,预订(预定)"
,,,,,
"城市+地铁线酒店列表","http://www.sunnychina.com/hotel/beijing/metroline_123/","    ^/hotel/[a-z]+/metroline_\d+/$","【北京_地铁地铁线】附近酒店宾馆预订(预定)_四号线地铁沿线各站附近的酒店宾馆_住宿价格查询_阳光旅行网",,"北京,地铁,地铁线,四号线,附近,酒店,宾馆,预订（预定）"
"城市+地铁线经济型酒店列表","http://www.sunnychina.com/hotel/beijing/metroline_123/inn.html                   ","  ^/hotel/[a-z]+/metroline_\d+/inn\.html$","【北京_地铁地铁线_快捷酒店】经济型酒店预订(预定)_价格查询_阳光旅行网",,"北京,地铁,地铁线,快捷酒店,经济型,预订(预定)"
"城市+地铁线三星级酒店列表","http://www.sunnychina.com/hotel/beijing/metroline_123/star3.html                  ","^/hotel/[a-z]+/metroline_\d+/star_[3-5]\.html$","【北京_地铁地铁线_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,地铁,地铁线,三星级,酒店,宾馆,预订(预定)"
"城市+地铁线某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/metroline_123/brand1.html                   ","^/hotel/[a-z]+/metroline_\d+/brand\d+\.html$","【北京_地铁地铁线_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,地铁,地铁线,如家,酒店预订(预定)"
"城市+地铁线酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/metroline_123/p2.html                      "," ^/hotel/[a-z]+/metroline_\d+/p\d+\.html$","【北京_地铁地铁线】附近酒店宾馆预订(预定)_四号线地铁沿线各站附近的酒店宾馆_住宿价格查询_100_阳光旅行网",,"北京,地铁,地铁线,四号线,附近,酒店,宾馆,预订（预定）"
,,,,,
"城市+地铁站酒店列表","http://www.sunnychina.com/hotel/beijing/metro_123/","    ^/hotel/[a-z]+/metro_\d+/$","【北京_地铁地铁站】附近酒店宾馆预订(预定)_动物园站附近的酒店宾馆_住宿价格查询_阳光旅行网",,"北京,地铁,地铁站,动物园,附近,酒店,宾馆,预订（预定）"
"城市+地铁站经济型酒店列表","http://www.sunnychina.com/hotel/beijing/metro_123/inn.html                      "," ^/hotel/[a-z]+/metro_\d+/inn\.html$","【北京_地铁地铁站_快捷酒店】经济型酒店预订(预定)_价格查询_阳光旅行网",,"北京,地铁,地铁站,快捷酒店,经济型,预订(预定)"
"城市+地铁站三星级酒店列表","http://www.sunnychina.com/hotel/beijing/metro_123/star3.html                       "," ^/hotel/[a-z]+/metro_\d+/star_[3-5]\.html$","【北京_地铁地铁站_三星级】酒店宾馆预订(预定)_住宿价格查询_阳光旅行网",,"北京,地铁,地铁站,三星级,酒店,宾馆,预订(预定)"
"城市+地铁站某品牌酒店列表","http://www.sunnychina.com/hotel/beijing/metro_123/brand1.html                     ","^/hotel/[a-z]+/metro_\d+/brand\d+\.html$","【北京_地铁地铁站_如家】酒店预订(预定)_住宿价格查询_阳光旅行网",,"北京,地铁,地铁站,如家,酒店预订(预定)"
"城市+地铁站酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/metro_123/p2.html                          "," ^/hotel/[a-z]+/metro_\d+/p\d+\.html$","【北京_地铁地铁站】附近酒店宾馆预订(预定)_动物园站附近的酒店宾馆_住宿价格查询_100_阳光旅行网",,"北京,地铁,地铁站,动物园,附近,酒店,宾馆,预订（预定）"
"城市+品牌酒店列表","http://www.sunnychina.com/hotel/beijing/brand_homeinns/","    ^/hotel/[a-z]+/brand_[a-z\d_-]+/$","【北京_如家快捷酒店】预订(预定)_住宿价格查询_阳光旅行网",,"北京,如家快捷酒店,预订(预定)"
"城市+品牌酒店列表-Pn","http://www.sunnychina.com/hotel/beijing/brand_homeinns/p2.html","                ^/hotel/[a-z]+/brand_[a-z\d_-]+/p\d+\.html$","【北京_如家快捷酒店】预订(预定)_住宿价格查询_100_阳光旅行网",,"北京,如家快捷酒店,预订(预定)"
,,,,,
"连锁酒店首页 ","http://www.sunnychina.com/hotel/kuaijie/","                             ^/hotel/kuaijie/$","【连锁酒店预定】全国连锁酒店大全_价格查询_阳光旅行网",,"连锁酒店,品牌连锁酒店,预订(预定)"
"品牌酒店索引","http://www.sunnychina.com/hotel/chain_1/","                             ^/hotel/chain_\d+/$","【如家快捷酒店】全国如家快捷酒店大全_价格_地址查询_阳光旅行网",,"如家快捷酒店,全国连锁,预订(预定)"
"城市连锁酒店列表","http://www.sunnychina.com/hotel/chain_1/beijing/"," ^/hotel/chain+\d+/[a-z]+/$","【北京_如家】酒店预订(预定)_住宿价格查询_地址_阳光旅行网",,"北京,如家,北京如家,酒店预订(预定)"
"城市连锁酒店列表-Pn","http://www.sunnychina.com/hotel/chain_1/beijing/p2.html"," ^/hotel/chain+\d+/[a-z]+/p\d+\.html$","【北京_如家】酒店预订(预定)_住宿价格查询_地址_100_阳光旅行网",,"北京,如家,北京如家,酒店预订(预定)"
"城市行政区连锁酒店列表","http://www.sunnychina.com/hotel/chain_1/beijing/chaoyang/","     ^/hotel/chain+\d+/[a-z]+/[a-z]+/$","【北京_朝阳区_如家】酒店预订(预定)_住宿价格查询_地址_阳光旅行网",,"北京,朝阳区,北京朝阳区,如家,酒店预订(预定)"
"城市行政区连锁酒店列表-Pn","http://www.sunnychina.com/hotel/chain_1/beijing/chaoyang/p2.html                    "," ^/hotel/chain+\d+/[a-z]+/[a-z]+/p\d+\.html$","【北京_朝阳区_如家】酒店预订(预定)_住宿价格查询_地址_100_阳光旅行网",,"北京,朝阳区,北京朝阳区,如家,酒店预订(预定)"
"城市商圈连锁酒店列表","http://www.sunnychina.com/hotel/chain_1/beijing/center_123/"," ^/hotel/chain+\d+/[a-z]+/center_\d+/$","【北京_西单_如家】酒店预订(预定)_住宿价格查询_地址_阳光旅行网",,"北京,西单,北京西单,如家酒店,预订(预定)"
"城市商圈连锁酒店列表-Pn","http://www.sunnychina.com/hotel/chain_1/beijing/center_123/p2.html                   "," ^/hotel/chain+\d+/[a-z]+/center_\d+/p\d+\.html$","【北京_西单_如家】酒店预订(预定)_住宿价格查询_地址_100_阳光旅行网",,"北京,西单,北京西单,如家酒店,预订(预定)"
"城市火车站连锁酒店列表","http://www.sunnychina.com/hotel/chain_1/beijing/train_123/","     ^/hotel/chain+\d+/[a-z]+/train_\d+/$","【北京_北京西站_如家】酒店预订(预定)_住宿价格查询_地址_阳光旅行网",,"北京,北京西站,如家酒店,预订(预定)"
"城市火车站连锁酒店列表-Pn","http://www.sunnychina.com/hotel/chain_1/beijing/train_123/p2.html                 ","^/hotel/chain+\d+/[a-z]+/train_\d+/p\d+\.html$","【北京_北京西站_如家】酒店预订(预定)_住宿价格查询_地址_100_阳光旅行网",,"北京,北京西站,如家酒店,预订(预定)"
"城市机场连锁酒店列表","http://www.sunnychina.com/hotel/chain_1/beijing/airport_123/"," ^/hotel/chain+\d+/[a-z]+/airport_\d+/$","【北京_南苑机场_如家】酒店预订(预定)_住宿价格查询_地址_阳光旅行网",,"北京,南苑机场,北京南苑机场,如家酒店,预订(预定)"
"城市机场连锁酒店列表-Pn","http://www.sunnychina.com/hotel/chain_1/beijing/airport_123/p2.html                 "," ^/hotel/chain+\d+/[a-z]+/airport_\d+/p\d+\.html$","【北京_南苑机场_如家】酒店预订(预定)_住宿价格查询_地址_100_阳光旅行网",,"北京,南苑机场,北京南苑机场,如家酒店,预订(预定)"
