"节点","url","Url正则","title","Title正则","keywords"
"首页","http://www.xici.net/","^/$","【城市生活社区门户】社区_论坛_bbs_俱乐部_西祠胡同",,
"地区论坛索引","http://www.xici.net/huabei/","^/[a-z]+/$","【华北地区】社区_论坛_bbs_西祠胡同",,
"省市论坛列表","http://www.xici.net/huabei/beijing/","^/[a-z]+/[a-z]+/$","【北京地区】社区_论坛_bbs_西祠胡同",,
"城区论坛列表","http://www.xici.net/huabei/beijing/dongcheng/","^/[a-z]+/[a-z]+/[a-z]+/$","【北京东城】社区_论坛_bbs_西祠胡同",,
"帖子页","http://www.xici.net/b1142262/",,"【西祠原创小说吧】北京论坛_文艺论坛_bbs_西祠胡同",,
"帖子详情页","http://www.xici.net/d177775554.htm",,"【雄霸蛮荒第三章上善若水】西祠原创小说吧_北京论坛_西祠胡同",,
,,,,,
"宠物首页","http://www.xici.net/pet/","^/pet/$","【宠物论坛】社区_bbs_动物论坛_西祠胡同",,"宠物,西祠宠物,宠物社区,动物,论坛,bbs"
"宠物热门论坛列表","http://www.xici.net/s/?t=1&k=%B3%E8%CE%EF&st=0","^/s/\?t=1&k=%B3%E8%CE%EF&st=0$","【宠物热门论坛】社区_bbs_动物论坛_西祠胡同",,"宠物论坛,社区,bbs,动物"
"帖子页","http://www.xici.net/b1153902/",,"【南京宠物嘉年华】南京宠物论坛_社区_bbs_西祠胡同",,"南京宠物嘉年华,宠物论坛,社区,bbs"
"帖子详情页","http://www.xici.net/d178009509.htm",,"【琪琪时装秀】南京宠物嘉年华_南京宠物论坛_bbs_西祠胡同",,"南京狗狗,宠物,动物,南京宠物店,论坛,社区,bbs"
"狗狗","http://www.xici.net/t_%B9%B7%B9%B7.htm","^/t_%B9%B7%B9%B7\.htm$","【狗狗】论坛_社区_bbs_动物论坛_西祠胡同",,"狗狗,论坛,社区,bbs,动物,狗狗图片,西祠狗狗"
