"节点","url","Url正则","title","Title正则","keywords"
"旅游首页","http://trip.elong.com/","^/$","旅游度假_国内游_出境游_旅游攻略_资讯_艺龙旅行网",,"艺龙旅游,国内游,出境游,周边游,旅游攻略,旅游资讯"
"主题游","http://trip.elong.com/tags/","^/tags/$","【主题旅游景点大全】国内出境主题旅游度假_艺龙旅行网",,"主题游,主题旅游景点,国内主题游,出境主题游,度假"
"主题游索引页","http://trip.elong.com/tags/127/","^/tags/\d+/$","【采摘】国内采摘景点_地址_艺龙旅行网",,"采摘,国内,采摘旅游景点,游记攻略,线路,美食,住宿"
"周边游","http://trip.elong.com/around/","^/around/$","【周边旅游景点大全】国内周边旅游度假_旅游线路查询_艺龙旅行网",,"艺龙周边游,旅游景点,度假,线路,美食,住宿,攻略"
"城市周边游","http://trip.elong.com/around/beijing.html","^/around/[a-z]+\.html$","【北京周边游】北京景点大全_景点介绍_旅游线路查询_艺龙旅行网",,"北京周边游,北京旅游,景点,线路,美食,住宿,攻略"
"国内游/出境游主页","http://trip.elong.com/guide/","^/guide/$","【国内出境游】全国旅游景点大全_艺龙旅行网",,"国内游,出境游,境外,出国,国外旅游,旅游景点,艺龙旅游"
"国内游","http://trip.elong.com/guide/china.html","\identical","【国内旅游】国内旅游景点大全_旅游线路推荐_艺龙旅行网",,"国内游,国内旅游,旅游景点,线路,美食,住宿,攻略"
"洲区域旅游索引页","http://trip.elong.com/guide/africa.html","^/guide/(namerica|africa|europe|asia|oceania|samerica)\.html$","【非洲旅游】非洲旅游景点大全_旅游线路推荐_艺龙旅行网",,"非洲/亚洲/北美洲/南美洲/大洋洲/欧洲,旅游景点,线路"
"出境游","http://trip.elong.com/guide/overseas.html","\identical","【出境旅游】出国旅游_出境线路推荐_艺龙旅行网",,"出境旅游,出境游,境外,出国,国外旅游,旅游景点,线路"
"国内游地区名","http://trip.elong.com/heilongjiang/","^/[a-z]+/$","【黑龙江旅游】黑龙江旅游指南_旅游景点_线路推荐_艺龙旅行网",,"黑龙江旅游,指南,线路,景点,住宿,美食"
,,,,,
"地名+简介","http://trip.elong.com/heilongjiang/jianjie/","^/[a-z]+/jianjie/$","【黑龙江简介】黑龙江旅游简介_景点推荐查询_艺龙旅行网",,"黑龙江旅游简介, 介绍,景点推荐,介绍"
"地名+美食","http://trip.elong.com/heilongjiang/meishi/","^/[a-z]+/meishi/$","【黑龙江美食】黑龙江美食简介_特色美食推荐_艺龙旅行网",,"黑龙江美食,特色美食,特色小吃,介绍"
"地名+购物","http://trip.elong.com/heilongjiang/gouwu/","^/[a-z]+/gouwu/$","【黑龙江购物】黑龙江购物简介_特产_艺龙旅行网",,"黑龙江购物,特产,介绍"
"地名+娱乐","http://trip.elong.com/heilongjiang/yule/","^/[a-z]+/yule/$","【黑龙江娱乐】黑龙江休闲娱乐_游乐项目_艺龙旅行网",,"黑龙江娱乐,游乐项目"
"地名+节庆活动","http://trip.elong.com/heilongjiang/jieqing/","^/[a-z]+/jieqing/$","【黑龙江节庆活动】艺龙旅行网",,"黑龙江节庆活动"
"地名+历史文化","http://trip.elong.com/heilongjiang/lishi/","^/[a-z]+/lishi/$","【黑龙江历史文化】艺龙旅行网",,"黑龙江历史文化,历史,文化"
"地名+旅游特色","http://trip.elong.com/heilongjiang/tese/","^/[a-z]+/tese/$","【黑龙江旅游特色】艺龙旅行网",,"黑龙江旅游特色"
"地名+帮助信息","http://trip.elong.com/heilongjiang/bangzhu/","^/[a-z]+/bangzh/$","【黑龙江帮助信息】艺龙旅行网",,"黑龙江帮助信息"
"地名+旅游景点","http://trip.elong.com/heilongjiang/jingdian/","^/[a-z]+/jingdian/$","【黑龙江旅游景点】黑龙江旅游景点大全_线路推荐_艺龙旅行网",,"黑龙江旅游景点大全,旅游景点介绍,景点推荐"
